Longitude,Latitude,Walkscore
-119.889011,34.41026442,2
-119.889011,34.41059236,2
-119.889011,34.4109203,2
-119.889011,34.41124825,2
-119.889011,34.41157619,2
-119.889011,34.41190413,2
-119.889011,34.41223207,2
-119.889011,34.41256001,3
-119.889011,34.41288796,3
-119.889011,34.4132159,3
-119.889011,34.41354384,3
-119.889011,34.41387178,4
-119.889011,34.41419972,4
-119.889011,34.41452767,4
-119.889011,34.41485561,4
-119.889011,34.41518355,4
-119.889011,34.41551149,6
-119.889011,34.41583943,6
-119.889011,34.41616738,6
-119.889011,34.41649532,6
-119.889011,34.41682326,8
-119.889011,34.4171512,8
-119.889011,34.41747914,8
-119.889011,34.41780709,8
-119.889011,34.41813503,8
-119.889011,34.41846297,12
-119.889011,34.41879091,12
-119.889011,34.41911886,12
-119.889011,34.4194468,12
-119.889011,34.41977474,16
-119.889011,34.42010268,16
-119.889011,34.42043062,16
-119.889011,34.42075857,16
-119.889011,34.42108651,16
-119.889011,34.42141445,20
-119.889011,34.42174239,20
-119.889011,34.42207033,20
-119.889011,34.42239828,20
-119.889011,34.42272622,20
-119.889011,34.42305416,26
-119.889011,34.4233821,26
-119.889011,34.42371004,26
-119.889011,34.42403799,26
-119.889011,34.42436593,27
-119.889011,34.42469387,27
-119.889011,34.42502181,27
-119.889011,34.42534975,27
-119.889011,34.4256777,27
-119.889011,34.42600564,31
-119.889011,34.42633358,31
-119.889011,34.42666152,31
-119.889011,34.42698946,31
-119.889011,34.42731741,37
-119.889011,34.42764535,37
-119.889011,34.42797329,37
-119.889011,34.42830123,37
-119.889011,34.42862917,37
-119.889011,34.42895712,44
-119.889011,34.42928506,44
-119.889011,34.429613,44
-119.888174,34.406985,2
-119.888174,34.40731294,2
-119.888174,34.40764088,2
-119.888174,34.40796883,3
-119.888174,34.40829677,3
-119.888174,34.40862471,3
-119.888174,34.40895265,3
-119.888174,34.40928059,3
-119.888174,34.40960854,3
-119.888174,34.40993648,3
-119.888174,34.41026442,3
-119.888174,34.41059236,3
-119.888174,34.4109203,3
-119.888174,34.41124825,3
-119.888174,34.41157619,3
-119.888174,34.41190413,3
-119.888174,34.41223207,3
-119.888174,34.41256001,3
-119.888174,34.41288796,3
-119.888174,34.4132159,3
-119.888174,34.41354384,3
-119.888174,34.41387178,5
-119.888174,34.41419972,5
-119.888174,34.41452767,5
-119.888174,34.41485561,5
-119.888174,34.41518355,5
-119.888174,34.41551149,7
-119.888174,34.41583943,7
-119.888174,34.41616738,7
-119.888174,34.41649532,7
-119.888174,34.41682326,9
-119.888174,34.4171512,9
-119.888174,34.41747914,9
-119.888174,34.41780709,9
-119.888174,34.41813503,9
-119.888174,34.41846297,14
-119.888174,34.41879091,14
-119.888174,34.41911886,14
-119.888174,34.4194468,14
-119.888174,34.41977474,18
-119.888174,34.42010268,18
-119.888174,34.42043062,18
-119.888174,34.42075857,18
-119.888174,34.42108651,18
-119.888174,34.42141445,24
-119.888174,34.42174239,24
-119.888174,34.42207033,24
-119.888174,34.42239828,24
-119.888174,34.42272622,24
-119.888174,34.42305416,29
-119.888174,34.4233821,29
-119.888174,34.42371004,29
-119.888174,34.42403799,29
-119.888174,34.42436593,30
-119.888174,34.42469387,30
-119.888174,34.42502181,30
-119.888174,34.42534975,30
-119.888174,34.4256777,30
-119.888174,34.42600564,34
-119.888174,34.42633358,34
-119.888174,34.42666152,34
-119.888174,34.42698946,34
-119.888174,34.42731741,42
-119.888174,34.42764535,42
-119.888174,34.42797329,42
-119.888174,34.42830123,42
-119.888174,34.42862917,42
-119.888174,34.42895712,50
-119.888174,34.42928506,50
-119.888174,34.429613,50
-119.887337,34.406985,2
-119.887337,34.40731294,2
-119.887337,34.40764088,2
-119.887337,34.40796883,3
-119.887337,34.40829677,3
-119.887337,34.40862471,3
-119.887337,34.40895265,3
-119.887337,34.40928059,3
-119.887337,34.40960854,3
-119.887337,34.40993648,3
-119.887337,34.41026442,3
-119.887337,34.41059236,3
-119.887337,34.4109203,3
-119.887337,34.41124825,3
-119.887337,34.41157619,3
-119.887337,34.41190413,3
-119.887337,34.41223207,3
-119.887337,34.41256001,3
-119.887337,34.41288796,3
-119.887337,34.4132159,3
-119.887337,34.41354384,3
-119.887337,34.41387178,5
-119.887337,34.41419972,5
-119.887337,34.41452767,5
-119.887337,34.41485561,5
-119.887337,34.41518355,5
-119.887337,34.41551149,error
-119.887337,34.41583943,error
-119.887337,34.41616738,error
-119.887337,34.41649532,error
-119.887337,34.41682326,error
-119.887337,34.4171512,error
-119.887337,34.41747914,error
-119.887337,34.41780709,error
-119.887337,34.41813503,error
-119.887337,34.41846297,error
-119.887337,34.41879091,error
-119.887337,34.41911886,error
-119.887337,34.4194468,error
-119.887337,34.41977474,error
-119.887337,34.42010268,error
-119.887337,34.42043062,error
-119.887337,34.42075857,error
-119.887337,34.42108651,error
-119.887337,34.42141445,error
-119.887337,34.42174239,error
-119.887337,34.42207033,error
-119.887337,34.42239828,error
-119.887337,34.42272622,error
-119.887337,34.42305416,error
-119.887337,34.4233821,error
-119.887337,34.42371004,error
-119.887337,34.42403799,error
-119.887337,34.42436593,error
-119.887337,34.42469387,error
-119.887337,34.42502181,error
-119.887337,34.42534975,error
-119.887337,34.4256777,error
-119.887337,34.42600564,error
-119.887337,34.42633358,error
-119.887337,34.42666152,error
-119.887337,34.42698946,error
-119.887337,34.42731741,error
-119.887337,34.42764535,error
-119.887337,34.42797329,error
-119.887337,34.42830123,error
-119.887337,34.42862917,error
-119.887337,34.42895712,error
-119.887337,34.42928506,error
-119.887337,34.429613,error
-119.8865,34.406985,error
-119.8865,34.40731294,error
-119.8865,34.40764088,error
-119.8865,34.40796883,error
-119.8865,34.40829677,error
-119.8865,34.40862471,error
-119.8865,34.40895265,error
-119.8865,34.40928059,error
-119.8865,34.40960854,error
-119.8865,34.40993648,error
-119.8865,34.41026442,error
-119.8865,34.41059236,error
-119.8865,34.4109203,error
-119.8865,34.41124825,error
-119.8865,34.41157619,error
-119.8865,34.41190413,error
-119.8865,34.41223207,error
-119.8865,34.41256001,error
-119.8865,34.41288796,error
-119.8865,34.4132159,error
